年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2023,1,市区町村,観光来訪者数,18,福井県,18501,若狭町,12970
2023,2,市区町村,観光来訪者数,18,福井県,18201,福井市,50388
2023,2,市区町村,観光来訪者数,18,福井県,18202,敦賀市,30249
2023,2,市区町村,観光来訪者数,18,福井県,18204,小浜市,15382
2023,2,市区町村,観光来訪者数,18,福井県,18205,大野市,24856
2023,2,市区町村,観光来訪者数,18,福井県,18206,勝山市,82379
2023,2,市区町村,観光来訪者数,18,福井県,18207,鯖江市,10940
2023,2,市区町村,観光来訪者数,18,福井県,18208,あわら市,12749
2023,2,市区町村,観光来訪者数,18,福井県,18209,越前市,12594
2023,2,市区町村,観光来訪者数,18,福井県,18210,坂井市,60878
2023,2,市区町村,観光来訪者数,18,福井県,18322,永平寺町,23666
2023,2,市区町村,観光来訪者数,18,福井県,18382,池田町,1453
2023,2,市区町村,観光来訪者数,18,福井県,18404,南越前町,8375
2023,2,市区町村,観光来訪者数,18,福井県,18423,越前町,19955
2023,2,市区町村,観光来訪者数,18,福井県,18442,美浜町,1330
2023,2,市区町村,観光来訪者数,18,福井県,18481,高浜町,9035
2023,2,市区町村,観光来訪者数,18,福井県,18483,おおい町,12608
2023,2,市区町村,観光来訪者数,18,福井県,18501,若狭町,17338
2023,3,市区町村,観光来訪者数,18,福井県,18201,福井市,87610
2023,3,市区町村,観光来訪者数,18,福井県,18202,敦賀市,46749
2023,3,市区町村,観光来訪者数,18,福井県,18204,小浜市,17560
2023,3,市区町村,観光来訪者数,18,福井県,18205,大野市,20152
2023,3,市区町村,観光来訪者数,18,福井県,18206,勝山市,54247
2023,3,市区町村,観光来訪者数,18,福井県,18207,鯖江市,21328
2023,3,市区町村,観光来訪者数,18,福井県,18208,あわら市,26039
2023,3,市区町村,観光来訪者数,18,福井県,18209,越前市,38568
2023,3,市区町村,観光来訪者数,18,福井県,18210,坂井市,103694
2023,3,市区町村,観光来訪者数,18,福井県,18322,永平寺町,42040
2023,3,市区町村,観光来訪者数,18,福井県,18382,池田町,1386
2023,3,市区町村,観光来訪者数,18,福井県,18404,南越前町,15084
2023,3,市区町村,観光来訪者数,18,福井県,18423,越前町,34394
2023,3,市区町村,観光来訪者数,18,福井県,18442,美浜町,6135
2023,3,市区町村,観光来訪者数,18,福井県,18481,高浜町,17974
2023,3,市区町村,観光来訪者数,18,福井県,18483,おおい町,23908
2023,3,市区町村,観光来訪者数,18,福井県,18501,若狭町,39122
2023,4,市区町村,観光来訪者数,18,福井県,18201,福井市,84529
2023,4,市区町村,観光来訪者数,18,福井県,18202,敦賀市,42526
2023,4,市区町村,観光来訪者数,18,福井県,18204,小浜市,32449
2023,4,市区町村,観光来訪者数,18,福井県,18205,大野市,23445
2023,4,市区町村,観光来訪者数,18,福井県,18206,勝山市,23874
2023,4,市区町村,観光来訪者数,18,福井県,18207,鯖江市,31145
2023,4,市区町村,観光来訪者数,18,福井県,18208,あわら市,30603
2023,4,市区町村,観光来訪者数,18,福井県,18209,越前市,23910
2023,4,市区町村,観光来訪者数,18,福井県,18210,坂井市,108059
2023,4,市区町村,観光来訪者数,18,福井県,18322,永平寺町,46068
2023,4,市区町村,観光来訪者数,18,福井県,18382,池田町,2155
2023,4,市区町村,観光来訪者数,18,福井県,18404,南越前町,14492
2023,4,市区町村,観光来訪者数,18,福井県,18423,越前町,23613
2023,4,市区町村,観光来訪者数,18,福井県,18442,美浜町,7176
2023,4,市区町村,観光来訪者数,18,福井県,18481,高浜町,22826
2023,4,市区町村,観光来訪者数,18,福井県,18483,おおい町,32819
